,0
0,쑥 들어간 제품들을 평소에 좋아해서 쑥 화장품으로 대부분 쓰려고 해요 아침저녁으로 매일매일 쓰기에 부담이 없고 좋습니다 자연 약쑥 진정 토너라 자극 없이 쓰기에도 좋고 녹차 루이보스 캐머마일 쑥 페퍼민트 로즈메리 유칼립투스 잎이 들어간 그린 허브 성분이라 피부 진정에도 도움이 되는 거 같아요
1,화장품 상자에 한 번 더 뽁뽁이  포장으로  꼼꼼하게 담아져 있었고  화장품 용기는 플라스틱 용기인데  용량이 커서  한참 쓸 수 있어 좋네요 뚜껑을 열었을 때  향기 좋네 하는 느낌이 없으니 향을 중요시하는 분은  좋아하지  않을 듯하네요 바르고 조금 시간이 지나면  향이  없어지는 것  같아요 용기에 적혀 있는 글씨가 너무 적어  안 보였는데 세트 구입했더니 앰풀인지 뭔지 모르겠는데  작은 샘플이 개가 있네요  싼 가격에  이 구성이면  좋네요
2,대용량에 헐 감동입니다 개는 지인도 팍팍 쓰라고 선물했어요이건 화장솜에 듬뿍하셔서 많이 하셔도 흡수는 잘 됩니다 저는 얼굴에 흡수가 안되는 타입인데 제품이 흡수 잘 되고요 약간의 알코올 냄새는 살짝 스치는 정도입니다 코로나에 다들 든 데 이 가격에 정말 감사합니다 마구 쓰시고 싶은 분은 구입하시고 쫀질한 느낌과 깊은 느낌분들은 살짝 고민하시고 클렌징으로 쓰고 싶다 하시는 분들은 차 쓰시고 고가의 스킨을 바르시는 것도 좋을듯합니다
3,아직 사용 전인데 오자마자 간병 이모님이 머냐고 물어보셔서 약쑥 스킨이라고  하니 한번 보자고 해서 뚜껑 열어서 향 맞아보고 손에 조금만 부어 보라고 해서 부었더니 발라보시더니 금방 흡수되고 촉촉하다고 하시며 얼마냐고 물어보셔서 써보시라고 그냥 하나 드렸네요 방에 환자도 뭔데 그리 크냐고 하시면서 어떻게 사냐고 물어보시고 다들 관심 보이네요 각질제거가 된다니 일단 닦토로 써보고 조으면 계속 사서 써보려고요
4,프레쥬 진정 토너 여름에 시원하게 토너 팩하기 좋아요 향은 쑥 냄새보다는 시트러스 계열 레몬향이 나는 편이고요 대용량인데 나이라서 한 통은 냉장고에 넣어놓고 자외선 높은 날에 진정용으로 팩하면 시원하고 진정도 되고 좋습니다 가격이 워낙 저렴해서 크게 기대 안 했는데 피지 많이 올라오는 여름에 쓰기 좋은 토너입니다
5,대이고 건성 민감 건성피부에  슬프면 앙대는데 짐승 용량 착한 가격 부담 없이 닥토스퇄마스크 트러블이 문제라 오 겹 솜에 마구 뿌리고 얼굴에 매매 도배후 분 뒤 제거하면 진정 효과 굿넘 커서 쓸 때 무거워서 다이소 공병에 덜어 씀 아침에 개기름 닦기용으로 씀이 클 워터 대용으로 요것도 맘에 듦이 여름에 더 유용하게 쓸 것 같아 좋네 사길 망설이시면 꼭 사두시라 맴이 든든한 거임
6,다른 분 말처럼 향이 강하네요 발랐을 때 깔끔한 느낌보다는 살짝 텁텁한 느낌이었어요 그렇다고 끈적이거나 그런 건 아니지만 개운 깔끔하지는 않았어요 진정 토너라 해서 기대를 너무 한 건가요 진정 효과는 두 번째치고 볼은 열감으로 발그레 되고 좁쌀같이 올라오고 건조하기까지 아침에 얼굴 당겨 거울 봤다가 놀랬어요 당기는 피부 팩한 줄 팩하고 굳었을 때 웃으면 주름 생기듯 얼굴 근육에 따라 줄이 생기며 구겨지는데 이건 나랑은 아닌듯싶네요 토너 수분크림 팩 여기 거만 사용
7,스킨은 프레쥬만 써요 작년에 접촉성 피부염으로 고생했을 때 연고 고 레이 저고 아무 소용 없었는데 프레쥬 스킨 쓰고 나았거든요  그 후로 계속 떨어뜨리지 않고 쟁여두게 돼요 가격대에 너무 저렴해서 품질 괜찮은가 했는데 수분 부족형 지성인 저한테 워낙 잘 맞아서 제발 단종 안됐으면 좋겠습니다 세안하고 닦토 한번 하고 푹 적셔서 이마 턱 쪽 코에 세 개 화장솜 적셔서 잠시 올려둬요 여름인데도 존 트러블 걱정 없고 좋습니다
8,닦도 용으로 주문해 봤어요 저렴한데 가격 대비 꽤 괜찮은 것 같아요 쑥 향이 별로 안 난다는 후기가 있었는데 정말 쑥 향은 안 느껴지네요 대신 은은한 허브향이 나는데 제가 좋아하는 달팡 오일 양이랑 흡사해서 좋네요 전 이런 은은한 허브향은 누구나 다 좋아하지만 좀 흔하게 맡아본 향이고 쑥 향 특이할 것 같아 약간 기대했는데 않나요 아 배송 이번에 꽤 느렸네요
9,쑥이라 해서 쑥 향이 나는 줄 알았지만 쑥 향은 전혀 없고 보통 화장수의 향입니다 엄청 대용량이고 구성비 좋은 것 같아요 뚜껑 부분 재질이 조금 아쉽습니다 대용량이라 오래 쓸 텐데 몇 번 여닫다 보면 떨어질 거 같기도 하고 테두리가 날카롭습니다 그 외에는 아직까지는 만족
10,
11,닦도 용이 필요하던 차에 검색해보니 순하고 구성비가 좋길래 구매했습니다 그런데 상세 설명과 다르게 전 성분을 보니 꼭 좋은 성분만 있는 건 아니네 요전 사실 임산부라 유해물질 없는 게 필요했는데 구매하고 화해 어플 깔아보니 좋은 상품은 아니었고 취소하려니 이미 출발한 상태라 일단 출산 수유가 끝나면 써보려고 합니다
12,세안해도 남아있는 기분이 들어 클렌징으로 구매했어요 적립금 써서 저렴하게 샀고 대용량이라 좋네요 딸내미가 보더니 써보고 싶다 해서 세안하고 닦아줬는데 솜에 진짜 잔여물이 묻어나네요 향도 은은하니 괜찮아요 저도 써봐야겠어요
13,몇 년째 사용 중인 제품입니다닦토로도 사용하고 그냥으로 사용하기에 이만한 게 없어요 다른 곳이랑 알아보다가 가격은 비슷하고 마침 행사 중이어서 구매했어 요한 동안 걱정 없이 쓸 것 같아요 제 형은 묽은 편이지만 사용하기 편하고 두 어번 바르면 촉촉합니다 향은 살짝 은은해요다 쓰면 재구매할 거예요
14,스킨을 많이 사용하는 편이여서 세트의 스킨 양으로는 항상 부족했어요 지인이 이 제품을 추천해주길래 자세히 찾아봤더니 여러모로 괜찮을 거 같아서 구입했어요 일단은 닦아내는 용도로 대용량이라 듬뿍듬뿍 사용해보려고요 믿고 잘 사용할게요
15,스프레이 군사통에 담아 샤워 후 온몸에 뿌려줍니다 혼자라 등에는 뭘 바르기가 들어서 항상 미스트를 쓰는데 이건 대용량이라 미친 듯이 뿌려도 아깝지가 않네요 나머지 팔다리는 로션으로 한 번 더 암튼 순한 것 같고 트러블이 없어요
